Transcript_ID	Transcript_ID	Gene_ID	Description	IO_Read_Count	IX_Read_Count	NO_Read_Count	NX_Read_Count	IO_FPKM	IX_FPKM	NO_FPKM	NX_FPKM
Os08g0102700	Os08t0102700-01,Os08t0102700-02,Os08t0102700-03,Os08t0102700-04,Os08t0102700-05	.	.	82	211	53	459	61.694279	68.953865	30.987043	62.903365
Os06g0102725	Os06t0102725-00	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os06g0102750	Os06t0102750-00	.	.	0	0	0	13	0.0	0.0	0.0	3.847718
Os03g0102775	Os03t0102775-00	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os05g0102800	Os05t0102800-01,Os05t0102800-02,Os05t0102800-03,Os05t0102800-04	.	.	26	141	86	487	6.948806	16.424357	17.998052	24.342441
Os12g0102800	Os12t0102800-00	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os06g0102800	Os06t0102800-01	.	.	34	106	32	280	8.620852	11.840874	6.403951	13.267765
Os11g0102800	Os11t0102800-01	.	.	74	161	72	630	18.673805	17.56427	14.252604	29.178738
Os08g0102800	Os08t0102800-01	.	.	0	0	0	24	0.0	0.0	0.0	7.181653
Os01g0102800	Os01t0102800-01	.	.	12	46	11	131	4.167549	6.927416	2.755255	8.367162
Os02g0102800	Os02t0102800-01,Os02t0102800-02	.	.	0	0	0	1	0.0	0.0	0.0	0.022544
Os02g0102850	Os02t0102850-01	.	.	4	0	3	18	1.503502	0.0	0.589063	1.228392
Os01g0102850	Os01t0102850-00	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os01g0102900	Os01t0102900-01	.	.	424	1832	306	3976	678.424866	1271.813843	383.324707	1165.464844
Os02g0102900	Os02t0102900-01	.	.	12	87	56	404	4.988803	17.047451	19.707264	33.379246
Os08g0102900	Os08t0102900-00	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os06g0102900	Os06t0102900-01	.	.	25	92	50	194	10.394956	16.446737	16.000063	14.722569
Os10g0102900	Os10t0102900-00	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os05g0102900	Os05t0102900-01,Os05t0102900-02	.	.	54	95	96	330	50.575069	41.651878	76.469657	62.227991
Os12g0102900	Os12t0102900-00	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os11g0102900	Os11t0102900-01	.	.	24	34	14	109	7.963299	4.814917	3.550964	6.662342
Os02g0102950	Os02t0102950-00	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os05g0103000	Os05t0103000-01	.	.	0	0	0	3	0.0	0.0	0.0	0.254338
Os01g0103000	Os01t0103000-01	.	.	0	23	0	26	0.0	9.981412	0.0	4.711537
Os07g0103000	Os07t0103000-01	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os02g0103000	Os02t0103000-01	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os11g0103000	Os11t0103000-00	.	.	0	3	0	25	0.0	0.554804	0.0	2.837473
Os08g0103000	Os08t0103000-01,Os08t0103000-02	.	.	0	56	6	114	0.0	18.815417	2.380234	14.49181
Os12g0103000	Os12t0103000-01	.	.	4	68	18	226	1.912737	13.983965	6.703753	19.694258
Os03g0103000	Os03t0103000-01	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os03g0103033	Os03t0103033-00	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os01g0103050	Os01t0103050-01	.	.	0	0	0	4	0.0	0.0	0.0	0.305893
Os11g0103050	Os11t0103050-00	.	.	0	2	0	0	0.0	0.646741	0.0	0.0
Os01g0103075	Os01t0103075-00	.	.	0	8	2	5	0.0	2.234258	1.011843	0.472229
Os03g0103100	Os03t0103100-01	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os08g0103100	Os08t0103100-01	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os09g0103100	Os09t0103100-01	.	.	50	55	40	168	35.651974	16.866762	22.296972	22.012613
Os06g0103100	Os06t0103100-01	.	.	0	28	4	12	0.0	8.268569	2.125764	1.500545
Os05g0103100	Os05t0103100-01	.	.	49	48	31	132	59.613407	25.393026	28.982561	29.425611
Os01g0103100	Os01t0103100-01,Os01t0103100-02	.	.	6	22	8	57	3.243679	5.071774	3.203451	5.586776
Os07g0103100	Os07t0103100-01	.	.	112	138	65	169	31.965528	17.115797	14.41257	8.824903
Os02g0103100	Os02t0103100-01	.	.	0	0	0	5	0.0	0.0	0.0	0.348469
