geneID	rice_mock.rep1_count	rice_mock.rep2_count	rice_RSV.rep1_count	rice_RSV.rep2_count	rice_mock.rep1_cpm	rice_mock.rep2_cpm	rice_RSV.rep1_cpm	rice_RSV.rep2_cpm	LogFC	LogCPM	Pvalue	FDR		
LOC_Os06g51060	1569	2264	6148	5713	60.08359777	85.05902849	233.1249378	221.524573	1.67234888	7.230700869	2.71E-08	4.68E-06		
LOC_Os12g42200	65	105	320	376	2.489122916	3.944875438	12.13402409	14.57959731	2.07863813	3.067016597	2.73E-08	4.68E-06		
LOC_Os12g40260	22	66	240	314	0.842472372	2.479635989	9.100518066	12.17551478	2.705570022	2.642213343	2.77E-08	4.72E-06		
LOC_Os02g16050	0	4	33	44	0	0.150280969	1.251321234	1.70612309	4.23029789	-0.230448419	2.80E-08	4.73E-06		
LOC_Os01g58240	364	286	1233	851	13.93908833	10.74508929	46.75391156	32.99797157	1.709726902	4.71193619	2.89E-08	4.83E-06		
LOC_Os11g37960	460	489	1630	1137	17.6153314	18.37184847	61.8076852	44.08777166	1.577399683	5.152074483	3.31E-08	5.49E-06		
LOC_Os08g10080	1161	1057	350	384	44.4595647	39.71174607	13.27158885	14.88980151	-1.557041359	4.807967179	3.38E-08	5.56E-06		
LOC_Os12g32610	40	22	137	406	1.531767948	0.82654533	5.194879063	15.74286305	3.171103594	2.570161852	3.61E-08	5.90E-06		
LOC_Os04g58810	185	275	634	956	7.08442676	10.33181662	24.04053522	37.06940168	1.838627739	4.304948219	3.78E-08	6.12E-06		
LOC_Os03g57990	13	17	99	89	0.497824583	0.638694118	3.753963702	3.451021704	2.676694723	1.113041766	4.27E-08	6.86E-06		
LOC_Os01g65650	176	320	957	754	6.739778972	12.02247752	36.28831579	29.23674567	1.829045026	4.403059513	4.31E-08	6.87E-06		
LOC_Os04g50940	3	21	102	165	0.114882596	0.788975088	3.867720178	6.397961586	3.521758194	1.524342313	5.42E-08	8.57E-06		
LOC_Os04g43200	370	521	1130	1638	14.16885352	19.57409622	42.84827256	63.51430956	1.683837155	5.13738282	5.82E-08	9.14E-06		
